key,title,year,journal,authors,abstract,doi,keywords
398100026,Methane yield enhancement of mesophilic and thermophilic anaerobic co-digestion of algal biomass and food waste using algal biochar: Semi-continuous operation and microbial community analysis,2020,Bioresource Technology,"Zhang, Le and Li, Fanghua and Kuroki, AgnÃ¨s and Loh, Kai-Chee and Wang, Chi-Hwa and Dai, Yanjun and Tong, Yen Wah","The impact of algal biochar addition on mesophilic and thermophilic anaerobic co-digestion of algal biomass and food waste was investigated with a focus on semi-continuous operations and functional microbial communities. Under batch co-digestion, the highest co-digestion synergy was observed for a mixture of 25% food waste and 75% algal biomass. During semi-continuous co-digestion of 25% food waste-75% algal biomass mixture, biochar amended digesters exhibited a 12â€“54% increase in average methane yield (275.8â€“394.6Â mL/gVS) compared to the controls. Elevated temperature induced narrow distributions of volatile fatty acids (VFAs) by inhibiting the production of branched VFAs. Genus Proteiniphilum was selectively enriched by 3.2 folds in mesophilic digesters with biochar amendment while genus Defluviitoga was selectively enriched in thermophilic digesters due to elevated temperature. Methanogenic communities were significantly different in mesophilic and thermophilic digesters. Biochar amendment contributed to shifts in the predominant methanogens leading to a more balanced state of two methanogenic pathways.",https://doi.org/10.1016/j.biortech.2020.122892,Biochar amendment;Thermophilic anaerobic digestion;Mesophilic anaerobic digestion;Microbial enrichment;Methanogenic pathways
398100027,Improved efficiency of anaerobic digestion through direct interspecies electron transfer at mesophilic and thermophilic temperature ranges,2018,Chemical Engineering Journal,"Lin, Richen and Cheng, Jun and Ding, Lingkan and Murphy, Jerry D.","Direct interspecies electron transfer (DIET) in microbial communities plays a significant role in improving efficiency of biomethane production from anaerobic digestion. In this study, the impacts of conductive graphene on mesophilic and thermophilic anaerobic digestion (MAD and TAD) were comparatively assessed using the model substrate ethanol. The maximum electron transfer flux for graphene-based DIET was calculated at mesophilic and thermophilic temperatures (35â€¯Â°C and 55â€¯Â°C). Biomethane potential results showed that the addition of graphene (1.0â€¯g/L) significantly enhanced biomethane production rates by 25.0% in MAD and 26.4% in TAD. The increased biomethane production was accompanied with enhanced ethanol degradation. The theoretical calculations showed that graphene-based DIET fluxes in MAD (76.4â€¯mA) and TAD (75.1â€¯mA) were at the same level, which suggests temperature might not be a significant factor affecting DIET. This slight difference was ascribed to the different Gibbs free energy changes of the overall DIET reaction (CH3CH2OHâ€¯+â€¯1/2CO2â€¯â†’â€¯1/2CH4â€¯+â€¯CH3COOâˆ’â€¯+â€¯5H+) in MAD and TAD. Microbial analysis revealed that the dominant microbes in response to graphene addition were distinctly different between MAD and TAD. The results indicated that the bacteria of Levilinea dominated in MAD, while Coprothermobacter dominated in TAD. The abundance of archaeal Methanobacterium decreased, while Methanosaeta increased with increasing temperature.",https://doi.org/10.1016/j.cej.2018.05.173,Graphene;Ethanol;Mesophilic/thermophilic digestion;Interspecies electron transfer
398100028,Synergetic effects of anaerobic co-digestion of food waste and algae on biogas production,2023,Bioresource Technology,"Khanthong, Kamonwan and Kadam, Rahul and Kim, Taeyoung and Park, Jungyu","Anaerobic co-digestion of food waste and algae was assessed to offset the drawbacks of anaerobic mono-digestion of each substrate. Batch test results indicated that a food waste and algae mixture ratio of 8:2 facilitated the highest CH4 yield (334Â mL CH4/g CODInput). This ratio was applied to the anaerobic co-digestion reactor, resulting in a CH4 yield that was twice that of the anaerobic mono-digestion reactors, thereby facilitating high operational stability. In contrast to the anaerobic mono-digestion, anaerobic co-digestion resulted in stable CH4 production by overcoming volatile fatty acid accumulation and a decreased pH, even under a high organic loading rate (3Â kg COD/m3âˆ™d). Furthermore, a comparative metagenomic analysis revealed that the abundance of volatile fatty acid-oxidizing bacteria and hydrogenotrophic and methylotrophic methanogens was significantly increased in the anaerobic co-digestion reactor. These findings indicate that the anaerobic co-digestion of food waste and algae significantly improves CH4 production and process stability.",https://doi.org/10.1016/j.biortech.2023.129208,Food waste;Algae;Anaerobic co-digestion;Methane production;Synergetic effect
398100029,Unveiling microbial structures during raw microalgae digestion and co-digestion with primary sludge to produce biogas using semi-continuous AnMBR systems,2020,Science of The Total Environment,"Zamorano-LÃ³pez, N. and BorrÃ¡s, L. and Seco, A. and Aguado, D.","Methane production from microalgae can be enhanced through anaerobic co-digestion with carbon-rich substrates and thus mitigate the inhibition risk associated with its low C:N ratio. Acclimated microbial communities for microalgae disruption can be used as a source of natural enzymes in bioenergy production. However, co-substrates with a certain microbial diversity such as primary sludge might shift the microbial structure. Substrates were generated in a Water Resource Recovery Facility (WRRF) and combined as follows: Scenedesmus or Chlorella digestion and microalgae co-digestion with primary sludge. The study was performed using two lab-scale Anaerobic Membrane Bioreactors (AnMBR). During three years, different feedstocks scenarios for methane production were evaluated with a special focus on the microbial diversity of the AnMBR. 57% of the population was shared between the different feedstock scenarios, revealing the importance of Anaerolineaceae members besides Smithella and Methanosaeta genera. The addition of primary sludge enhanced the microbial diversity of the system during both Chlorella and Scenedesmus co-digestion and promoted different microbial structures. Aceticlastic methanogen Methanosaeta was dominant in all the feedstock scenarios. A more remarkable role of syntrophic fatty acid degraders (Smithella, Syntrophobacteraceae) was observed during co-digestion when only microalgae were digested. However, no significant changes were observed in the microbial composition during anaerobic microalgae digestion when feeding only Chlorella or Scenedesmus. This is the first work revealing the composition of complex communities for semi-continuous bioenergy production from WRRF streams. The stability and maintenance of a microbial core over-time in semi-continuous AnMBRs is here shown supporting their future application in full-scale systems for raw microalgae digestion or co-digestion.",https://doi.org/10.1016/j.scitotenv.2019.134365,16S rRNA gene;Anaerobic digestion;AnMBR;Biogas;Co-digestion;Microalgae
398100032,Biomethanation and microbial community response during agricultural biomass and shrimp chaff digestion,2021,Environmental Pollution,"Ali, Gohar and Ling, Zhenmin and Saif, Irfan and Usman, Muhammad and Jalalah, Mohammed and Harraz, Farid A. and Al-Assiri, M.S. and Salama, El-Sayed and Li, Xiangkai","Anaerobic digestion, a promising technology for waste utilization and bioenergy generation, is a suitable approach to convert the shrimp waste to biomethane, reducing its environmental impact. In this study, shrimp chaff (SC) was co-digested corn straw (CS), wheat straw (WS), and sugarcane bagasse (SB). In co-digestion, SC enhanced biomethane production of CS by 8.47-fold, followed by SCÂ +Â WS (5.67-folds), and SCÂ +Â SB (3.37-folds). SC addition to agricultural biomass digestion also promoted the volatile solids removal up to 85%. Microbial community analysis of SC and CS co-digestion presented the dominance of phylum Bacteroidetes, Firmicutes, Proteobacteria, and Euryarchaeota. Proteolytic bacteria were dominant (18.02%) during co-digestion of SC and CS, with Proteiniphilum as major bacterial genera (14%) that converts complex proteinaceous substrates to organic acids. Among the archaeal community, Methanosarcina responsible for conversion of acetate and hydrogen to biomethane, increased up to 70.77% in SC and CS digestion. Addition of SC to the digestion of agricultural wastes can significantly improve the biomethane production along with its effective management to reduce environmental risks.",https://doi.org/10.1016/j.envpol.2021.116801,Shrimp chaff;Agricultural wastes;Protein co-digestion;Biomethane enhancement;Microbial diversity
398100034,"Genomic characterization of Defluviitoga tunisiensis L3, a key hydrolytic bacterium in a thermophilic biogas plant and its abundance as determined by metagenome fragment recruitment",2016,Journal of Biotechnology,"Maus, Irena and Cibis, Katharina Gabriela and Bremges, Andreas and Stolze, Yvonne and Wibberg, Daniel and Tomazetto, Geizecler and Blom, Jochen and Sczyrba, Alexander and KÃ¶nig, Helmut and PÃ¼hler, Alfred and SchlÃ¼ter, Andreas","The genome sequence of Defluviitoga tunisiensis L3 originating from a thermophilic biogas-production plant was established and recently published as Genome Announcement by our group. The circular chromosome of D. tunisiensis L3 has a size of 2,053,097bp and a mean GC content of 31.38%. To analyze the D. tunisiensis L3 genome sequence in more detail, a phylogenetic analysis of completely sequenced Thermotogae strains based on shared core genes was performed. It appeared that Petrotoga mobilis DSM 10674T, originally isolated from a North Sea oil-production well, is the closest relative of D. tunisiensis L3. Comparative genome analyses of P. mobilis DSM 10674T and D. tunisiensis L3 showed moderate similarities regarding occurrence of orthologous genes. Both genomes share a common set of 1351 core genes. Reconstruction of metabolic pathways important for the biogas production process revealed that the D. tunisiensis L3 genome encodes a large set of genes predicted to facilitate utilization of a variety of complex polysaccharides including cellulose, chitin and xylan. Ethanol, acetate, hydrogen (H2) and carbon dioxide (CO2) were found as possible end-products of the fermentation process. The latter three metabolites are considered to represent substrates for methanogenic Archaea, the key organisms in the final step of the anaerobic digestion process. To determine the degree of relatedness between D. tunisiensis L3 and dominant biogas community members within the thermophilic biogas-production plant, metagenome sequences obtained from the corresponding microbial community were mapped onto the L3 genome sequence. This fragment recruitment revealed that the D. tunisiensis L3 genome is almost completely covered with metagenome sequences featuring high matching accuracy. This result indicates that strains highly related or even identical to the reference strain D. tunisiensis L3 play a dominant role within the community of the thermophilic biogas-production plant.",https://doi.org/10.1016/j.jbiotec.2016.05.001,Thermophilic;;Sugar utilization;Comparative genome analyses
398100035,Characterization of microbial community and main functional groups of prokaryotes in thermophilic anaerobic co-digestion of food waste and paper waste,2019,Science of The Total Environment,"Li, Lu and Qin, Yu and Kong, Zhe and Wu, Jing and Kubota, Kengo and Li, Yu-You","The thermophilic anaerobic co-digestion of food waste and paper waste was successfully operated with a 0% to 70% fraction of paper waste. The variation of functional microbial community was investigated by 16S rRNA gene analysis. The results indicated that the hydrolyzing bacterial community changed from carbohydrate/protein-degrading bacteria to cellulose-degrading bacteria when the paper waste ratio was higher than 50%. Significant changes in the taxon responsible for cellulose degradation were found depending on the paper waste fraction. Cellulose-degrading bacteria outcompeted lactic acid bacteria in the degradation of monosaccharide, resulting in a decline in the proportion of lactic acid bacteria and the absence of an accumulation of lactic acid. At high paper waste ratios, because the cellulose-degrading bacteria, such as Defluviitoga tunisiensis, were more likely to degrade monosaccharides directly to acetate and hydrogen rather than to propionate and butyrate, the abundance of syntrophs was reduced. The variation of those bacteria with high H2-producing ability significantly influenced the proportion of hydrogenotrophic archaea. The change in the microbial community as the paper waste fraction increased was illustrated with regard to anaerobic degradation steps.",https://doi.org/10.1016/j.scitotenv.2018.10.292,Thermophilic anaerobic co-digestion;Food waste;Paper waste;Microbial community;Cellulose degradation
398100036,"Biochar enhanced thermophilic anaerobic digestion of food waste: Focusing on biochar particle size, microbial community analysis and pilot-scale application",2020,Energy Conversion and Management,"Zhang, Le and Lim, Ee Yang and Loh, Kai-Chee and Ok, Yong Sik and Lee, Jonathan T.E. and Shen, Ye and Wang, Chi-Hwa and Dai, Yanjun and Tong, Yen Wah","Effectiveness of biochar addition to enhance thermophilic semi-continuous anaerobic digestion (AD) of food waste for methane production was investigated with a focus on dosage and particle size of biochar, pilot-scale application and elucidation of methanogenic pathways. Optimal dosage range of biochar was determined as 7.5 to 15Â g per L working volume based on lab-scale batch AD. Effects of biochar with different particle sizes at a model dosage of 15Â g/L were evaluated in a semi-continuous AD experiment, results of which showed that all the examined biochars with different particle sizes (<50Â Î¼m to 3Â cm) substantially enhanced the average methane yields (0.465â€“0.543 L/gVS) compared to control digesters which failed due to overloading (â‰¥3.04 gVS/L/d). No significant difference in methane yields, however, was observed among digesters with different particle sizes of biochars, except for 1â€“3Â cm. The core reason for this phenomenon was that the biochars with different particle sizes had similar properties (e.g. density, surface area and pore size) and that the floating of large particle size (1â€“3Â cm) of biochar with a density of 847Â kg/m3 was not conducive to microbial growth. Metagenomic analysis was performed to determine the predominant microbial species and to explain the main methanogenic pathways in biochar-amended digesters using 16S rRNA sequencing. In the biochar-amended digester, bacterial phylum Thermotogae containing a major genus of Defluviitoga was selectively enriched with gradual increase of organic loadings, while simultaneously enriched methanogen genera Methanothermobacter and Methanosarcina, which showed a synergy of hydrogenotrophic and acetoclastic methanogenic pathways, jointly enhanced the methane productivity. Both technical feasibility and economic feasibility of adding biochar with simple pretreatment (e.g. smash) were validated in the pilot-scale thermophilic semi-continuous AD operations.",https://doi.org/10.1016/j.enconman.2020.112654,Thermophilic anaerobic digestion;Bioenergy conversion;Food waste minimization;Biochar amendment;Methanogenic pathways;Pilot-scale application
398100037,Co-digestion of harvested microalgae and primary sludge in a mesophilic anaerobic membrane bioreactor (AnMBR): Methane potential and microbial diversity,2020,Bioresource Technology,"Serna-GarcÃ­a, R. and Zamorano-LÃ³pez, N. and Seco, A. and Bouzas, A.","Anaerobic co-digestion of primary sludge and raw microalgae (Scenedesmus and Chlorella) was performed in a lab-scale semi-continuous anaerobic membrane bioreactor to assess the biological performance and identify the microbial community involved in the co-digestion process. The reactor was operated at 35Â Â°C for 440Â days, working at a solids retention time of 100Â days. The system achieved 73% biodegradability and showed high stability in terms of pH and volatile fatty acids. An enriched microbial community was observed. Of the several phyla, Chloroflexi and Proteobacteria were the most abundant. Cellulose-degraders phyla (Bacteroidetes, Chloroflexi and Thermotogae) were detected. Syntrophic microorganisms played an important role in intermediate degradation, enhancing methane production, mainly carried out by Methanosaeta. A nutrient-rich effluent (400Â mg NH4-NÂ·Lâˆ’1 and 29Â mg PO4-PÂ·Lâˆ’1) and digestate (860Â mgÂ NÂ·Lâˆ’1 and 151Â mg PÂ·Lâˆ’1) were obtained. The bio-nutrients released from anaerobic co-digestion could be reused for microalgae cultivation or agricultural applications.",https://doi.org/10.1016/j.biortech.2019.122521,Co-digestion;AnMBR;Microalgae;Primary sludge;Methane
398100038,Microbial shifts in anaerobic digestion towards phenol inhibition with and without hydrochar as revealed by metagenomic binning,2022,Journal of Hazardous Materials,"He, Jun and Luo, Tao and Shi, Zhijian and Angelidaki, Irini and Zhang, Shicheng and Luo, Gang","The inhibition of anaerobic digestion (AD) by phenolic compounds is an obstacle to the efficient treatment of organic wastes. Besides, hydrochar produced from hydrothermal liquefaction of biomass has been previously reported to enhance AD. The present study aimed to provide deep insights into the microbial shifts at the species level to phenol (0â€“1.5Â g/L) inhibition in AD of glucose with and without hydrochar by metagenomic analysis. Phenol higher than 1Â g/L had severe inhibition on both the amount and rate of methane production in control experiments, while hydrochar significantly enhanced methane production, especially at phenol 1Â g/L and 1.5Â g/L. From metagenomic analysis, 78 High-quality metagenome-assembled genomes (MAGs) were obtained. Principal components analysis showed that the microbial communities were shifted when phenol concentration was increased to 0.25Â g/L in control experiments and 1Â g/L in hydrochar experiments. In control experiments, no MAGs involved in acetogenesis were found at phenol 1.5Â g/L and Methanothrix sp.FDU243 was also inhibited. However, hydrochar resulted in the maintenance of several MAGs involved in acetogenesis and Methanothrix sp.FDU243 even at phenol 1.5Â g/L, ensuring a persistent methane production. Furthermore, 6 phenol-degrading MAGs were identified, shifting dependent on the concentrations of phenol and the presence of hydrochar.",https://doi.org/10.1016/j.jhazmat.2022.129718,Phenol;Anaerobic digestion;Hydrochar;Metagenomic analysis;Microbial shifts
